Type,Source URL,Destination URL,Status Code/Redirect Type
Redirect,"/5-lingaraj-temple-bhubaneswar-odisha","/temples/lingaraj-temple",301 (Permanent)
Redirect,"/uttar-pradesh-temple","/temples",301 (Permanent)
Redirect,"/my-trips-login","/login",301 (Permanent)
Redirect,"/blog/barsana-lathmar-holi-guide","/blog/lathmar-holi-barsana-2026-darshan-guide",301 (Permanent)
Redirect,"/badrinath-temple-darshan-2026-timings-vip-pass","/temples/badrinath-temple",301 (Permanent)
Redirect,"/travel-organizer/jagannath-yatra-packages","/jagannath-yatra",301 (Permanent)
Redirect,"/travel/sai-baba-mandir","/shirdi-yatra",301 (Permanent)
Redirect,"/travel-category/thillai-nataraja-temple","/temples/thillai-nataraja-temple",301 (Permanent)
Redirect,"/travel/jagannath-temple","/yatra",301 (Permanent)
Redirect,"/travel/virupaksha-temple-hampi-karnataka","/yatra",301 (Permanent)
Redirect,"/mahakal_blog","/blogs",301 (Permanent)
Redirect,"/mata-vaishno-devi-2","/temples/vaishno-devi-temple",301 (Permanent)
Redirect,"/travel/lingaraj-temple","/temples/lingaraj-temple",301 (Permanent)
Redirect,"/travel/naina-devi-temple","/temples/naina-devi-temple",301 (Permanent)
Redirect,"/ranganathaswamy-temple","/temples/ranganathaswamy-temple",301 (Permanent)
Redirect,"/iskon-mayapur","/temples/iskcon-temple",301 (Permanent)
Redirect,"/travel/badrinath-temple","/temples/badrinath-temple",301 (Permanent)
Redirect,"/trimbakeshwar-jyotirlinga-nashik-maharashtra","/temples/trimbakeshwar-jyotirlinga-temple",301 (Permanent)
Redirect,"/uttarakhand-temples","/temples",301 (Permanent)
Redirect,"/neelkanth-mahadev-temple-vip-darshan-rishikesh","/temples/neelkanth-mahadev-temple",301 (Permanent)
Redirect,"/travel/virupaksha-temple","/temples/virupaksha-temple",301 (Permanent)
Redirect,"/travel-category/guruvayur-temple","/temples/guruvayur-temple",301 (Permanent)
Redirect,"/travel/kedarnath-yatra-package","/kedarnath-yatra",301 (Permanent)
Redirect,"/travel/swaminarayan-akshardham-mandir","/temples/swaminarayan-akshardham-mandir-temple",301 (Permanent)
Redirect,"/travel-category/lingaraj-temple","/temples/lingaraj-temple",301 (Permanent)
Redirect,"/puja-booking-online","/puja",301 (Permanent)
Redirect,"/kashi-darshan","/darshan/kashi-vishwanath-temple-vipdarshan",301 (Permanent)
Redirect,"/travel-category/airavatesvara-temple","/temples/airavatesvara-temple",301 (Permanent)
Redirect,"/travel-category/parasnath-digambar-jain-temple/feed","/temples/parasnath-digambar-jain-temple",301 (Permanent)
Redirect,"/travel-category/vindhyachal-temple","/temples/vindhyachal-temple",301 (Permanent)
Redirect,"/travel-category/sri-venkateswara-swami-temple","/temples/sri-venkateswara-swami-temple",301 (Permanent)
Redirect,"/travel/birla-mandir","/temples/birla-mandir-temple",301 (Permanent)
Redirect,"/ttbm_tour_tag/bhimashankar-rudrabhishek-puja","/puja/rudrabhishek-puja",301 (Permanent)
Redirect,"/travel/shirdi-yatra-packages","/shirdi-yatra",301 (Permanent)
Redirect,"/penchalakona-lakshmi-narasimha-swamy-temple-darshan","/temples/penchalakona-lakshmi-narasimha-swamy-temple",301 (Permanent)
Redirect,"/travel-category/dakshineswar-kali-temple","/temples/dakshineswar-kali-temple",301 (Permanent)
Redirect,"/travel/ayodhya-yatra-packages","/ayodhya-yatra",301 (Permanent)
Redirect,"/travel-category/palani-murugan-temple","/temples/palani-murugan-temple",301 (Permanent)
Redirect,"/travel-category/ramanathaswamy-temple","/temples/ramanathaswamy-temple",301 (Permanent)
Redirect,"/live-darshan-badrinath","/live-darshan/badrinath-temple",301 (Permanent)
Redirect,"/travel/kanyakumari-amman-temple","/temples/kanyakumari-bhagavathy-amman-temple",301 (Permanent)
Redirect,"/travel-category/trimbakeshwar-jyotirlinga","/temples/trimbakeshwar-jyotirlinga-temple",301 (Permanent)
Redirect,"/malyadri-lakshmi-narasimha-swamy-temple-darshan","/temples/sri-malyadri-lakshmi-narasimha-swamy-temple",301 (Permanent)
Redirect,"/kanipakam-varasiddhi-vinayaka-swamy-temple-darshan","/temples",301 (Permanent)
Redirect,"/travel/padmanabhaswamy-temple","/temples/padmanabhaswamy-temple",301 (Permanent)
Redirect,"/blog/golden-temple-yatra/feed","/blog/golden-temple-amritsar-history-langar-guide",301 (Permanent)
Redirect,"/travel/mehandipur-balaji-temple","/temples/mehandipur-balaji-temple",301 (Permanent)
Redirect,"/travel-category/varadharaja-perumal-temple","/temples/varadharaja-perumal-temple",301 (Permanent)
Redirect,"/2024/02/14/golden-temple-yatra","/blog/golden-temple-amritsar-history-langar-guide",301 (Permanent)
Redirect,"/blog/golden-temple-yatra","/blog/golden-temple-amritsar-history-langar-guide",301 (Permanent)
Redirect,"/tour/kedarnath-yatra-package","/kedarnath-yatra",301 (Permanent)
Redirect,"/travel-category/baidyanath-temple","/temples/baidyanath-temple",301 (Permanent)
Redirect,"/tour/yamunotri-temple","/temples/yamunotri-temple",301 (Permanent)
Redirect,"/tour/kedarnath-temple","/temples/kedarnath-temple",301 (Permanent)
Redirect,"/travel/banke-bihari-temple","/temples/banke-bihari-temple",301 (Permanent)
Redirect,"/travel-category/parasnath-digambar-jain-temple","/temples/parasnath-digambar-jain-temple",301 (Permanent)
Redirect,"/travel/tara-temple-tarapith","/temples/tara-temple",301 (Permanent)
Redirect,"/travel/yamunotri-temple","/temples/yamunotri-temple",301 (Permanent)
Redirect,"/travel/belur-math","/temples/belur-math-temple",301 (Permanent)
Redirect,"/travel-category/kanyakumari-bhagavathy-amman","/temples/kanyakumari-bhagavathy-amman-temple",301 (Permanent)
Redirect,"/puja-booking","/puja",301 (Permanent)
Redirect,"/tour/ayodhya-yatra-packages","/ayodhya-yatra",301 (Permanent)
Redirect,"/kashi-vishwanath-temple-varanasi","/temples/kashi-vishwanath-temple",301 (Permanent)
Redirect,"/tour/sri-venkateswara-swami-temple","/temples/sri-venkateswara-swami-temple",301 (Permanent)
Redirect,"/package/ayodhya-yatra","/ayodhya-yatra",301 (Permanent)
Redirect,"/blog/dauji-huranga-baldeo-guide","/blog/dauji-huranga-2026-baldeo-darshan-guide-tips",301 (Permanent)
Redirect,"/blog/phalen-gaon-fire-holi-guide","/blog/phalen-gaon-ki-holi-2026-fire-ritual-travel-guide-tips",301 (Permanent)
Redirect,"/blog/chhadimar-holi-gokul-guide","/blog/chhadimar-holi-gokul-2026-darshan-guide-tips",301 (Permanent)
Redirect,"/travel/kedarnath-platinum-yatra-package","/kedarnath-yatra",301 (Permanent)
Redirect,"/mahakaleshwar-temple-ujjain-shiva-bhakti-agni-rituals-winter-darshan","/darshan/mahakaleshwar-jyotirlinga-ujjain-vipdarshan",301 (Permanent)
Redirect,"/travel/laxminarayan-temple-birla-mandir","/temples/laxminarayan-temple-birla-mandir-temple",301 (Permanent)
Redirect,"/jagannath_blog","/blogs/mysteries-of-jagannath-puri",301 (Permanent)
Redirect,"/travel/dakshineswar-kali-temple","/temples/dakshineswar-kali-temple",301 (Permanent)
Redirect,"/travel-organizer/vrindavan-yatra-package","/vrindavan-yatra",301 (Permanent)
Redirect,"/travel-category/mehandipur-balaji-temple","/temples/mehandipur-balaji-temple",301 (Permanent)
Redirect,"/travel/chardham-yatra-packages","/char-dham-yatra",301 (Permanent)
Redirect,"/travel-category/meenakshi-temple","/temples/meenakshi-temple",301 (Permanent)
Redirect,"/jyotirlinga","/temples",301 (Permanent)
Redirect,"/tour/the-golden-temple","/temples/the-golden-temple",301 (Permanent)
Redirect,"/travel-category/jagannath-temple","/temples/jagannath-temple",301 (Permanent)
Redirect,"/packages-2","/yatra",301 (Permanent)
Redirect,"/penchalakona-lakshmi-narasimha-swamy-temple-prasadam","/temples/penchalakona-lakshmi-narasimha-swamy-temple",301 (Permanent)
